Sample Name,WGS84-long,WGS84-lat,Elevation(m),Rock Type,Sample Description,Sample Age,Uncertainty (+),Uncertainty (-),Age Interpretation,Isotopic System,Mineral Analyzed,Method,Lab,Primary Reference,Authors
G-167,-118.781477,49.21229098,,metamorphic,"medium-grained, hornblende orthogneiss",162.8,1.2,1.2,crystallization,U-Pb,zircon,CA-ID-TIMS,"University of British Columbia
for Isotopic and Geochemical Research (UBC)",GeoscienceBC Report GBC2018-011,"Hoy, T."
G-200,-118.6887724,49.21457455,,plutonic,"medium-grained, equigranular, relative fresh, massive granodiorite",168.3,1.2,1.2,crystallization,U-Pb,zircon,CA-ID-TIMS,"University of British Columbia
for Isotopic and Geochemical Research (UBC)",GeoscienceBC Report GBC2018-011,"Hoy, T."
AM-391,-118.9639393,49.35209757,,plutonic,"massive, relatively fresh, leuco",63.6,1.3,1.3,cooling,Ar-Ar,biotite,Laser step heating,"University of British Columbia
for Isotopic and Geochemical Research (UBC)",GeoscienceBC Report GBC2018-011,"Hoy, T."
AM-404,-118.9344054,49.48055126,,plutonic,"medium-grained, relatively fresh, hornblende-biotite granodiorite",177.7,3,3,cooling,Ar-Ar,muscovite,Laser step heating,"University of British Columbia
for Isotopic and Geochemical Research (UBC)",GeoscienceBC Report GBC2018-011,"Hoy, T."
AM-470,-118.9083775,49.38203099,,volcanic,"medium to dark grey, amygdaloidal alkali ""andesite""",57.8,2.1,2.1,cooling,Ar-Ar,feldspar,Laser step heating,"University of British Columbia
for Isotopic and Geochemical Research (UBC)",GeoscienceBC Report GBC2018-011,"Hoy, T."
AM-529,-118.9000848,49.39065962,,plutonic,"medium-grained, relatively fresh (biotitie)-hornblende granite",179.3,4.5,4.5,cooling,Ar-Ar,hornblende,Laser step heating,"University of British Columbia
for Isotopic and Geochemical Research (UBC)",GeoscienceBC Report GBC2018-011,"Hoy, T."
AM-557,-118.9034988,49.25100576,,volcanic,plagioclase-phyric andesite,59.2,0.8,0.8,cooling,Ar-Ar,plagioclase,Laser step heating,"University of British Columbia
for Isotopic and Geochemical Research (UBC)",GeoscienceBC Report GBC2018-011,"Hoy, T."
AM-563,-118.8988897,49.27306769,,plutonic,megacrystic k-feldspar porphyritic granite,67.7,8,8,cooling,Ar-Ar,feldspar,Laser step heating,"University of British Columbia
for Isotopic and Geochemical Research (UBC)",GeoscienceBC Report GBC2018-011,"Hoy, T."
CV-06,-118.9010771,49.53935944,,plutonic,"fresh, medium-grained, massive to foliated granite/granodiorite",50.79,0.69,0.69,cooling,Ar-Ar,hornblende,Laser step heating,"University of British Columbia
for Isotopic and Geochemical Research (UBC)",GeoscienceBC Report GBC2018-011,"Hoy, T."
CV-41,-118.8719937,49.61383951,,volcanic,"fresh, crowded feldspar porphyry",53.8,1.8,1.8,cooling,Ar-Ar,feldspar,Laser step heating,"University of British Columbia
for Isotopic and Geochemical Research (UBC)",GeoscienceBC Report GBC2018-011,"Hoy, T."
