Sample Name,WGS84-long,WGS84-lat,Elevation(m),Rock Type,Sample Description,Sample Age,Uncertainty (+),Uncertainty (-),Age Interpretation,Isotopic System,Mineral Analyzed,Method,Lab,Primary Reference,Authors
6AEN 81-12,-130.0184328,58.89140816,762,Plutonic,mesocratic quartz diorite,108.7,1.7,1.7,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
6AEN 81-12,-130.0184328,58.89140816,762,Plutonic,mesocratic quartz diorite,127,2,2,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GA 83-41,-128.5683511,58.82477311,1792,Plutonic,"bi bearing, miarolitic, smoky quartz granite",48.52,0.77,0.77,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GA-83-22A,-129.406281,58.271195,1768,Plutonic,m. gr. bi-hb-qtz granodiorite,157.8,2.4,2.4,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GA-83-22A,-129.406281,58.271195,1768,Plutonic,m. gr. bi-hb-qtz granodiorite,160.8,2.5,2.5,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GA-83-42,-129.2266886,58.99144049,1067,Plutonic,granite,266.5,3.9,3.9,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAAN-83-114-2,-127.9553586,57.91597933,1524,Plutonic,Hbl. bi. monzogranite,215,4,4,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAAN-83-114-2,-127.9553586,57.91597933,1524,Plutonic,Hbl. bi. monzogranite,213,4,4,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAAN-83-143-1,-127.6683669,57.88950782,,Plutonic,Bi. hbl. monzogranite,204,4,4,Cooling 280°C,K/Ar,Biotite,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
GAAN-83-143-1,-127.6683669,57.88950782,,Plutonic,Bi. hbl. monzogranite,215,3,3,Cooling 500°C,K/Ar,Hornblende,unkown,Geological Survey of Canada,"Radiogenic Age and Isotopic Studies:  Report 1, Geological Survey of Canada, Paper 87-2","Hunt, P.A. and Roddick, J.C."
