strat_unit;color_hex
"?dr";"#ffdeed"
"?g";"#ffdeed"
"?gr";"#ffdeed"
"?gs";"#dbccf7"
"?mc";"#dbccf7"
"?ml";"#dbccf7"
"?mm";"#dbccf7"
"?og";"#ffdeed"
"?qd";"#ffdeed"
"?qm";"#ffdeed"
"?to";"#ffdeed"
"CCCTHvm";"#8091ad"
"CJBRm";"#caa7d1"
"CJBRsv";"#caa7d1"
"CJBRus";"#caa7d1"
"CKSC";"#9fa6a3"
"CmA";"#e77c72"
"CmAlm";"#e77c72"
"CmAqz";"#e77c72"
"CmAs";"#e77c72"
"CmCD";"#a07c78"
"Cmcg";"#e8ae97"
"CmDBI";"#ab7d00"
"CmDEB";"#ccd891"
"CmDEBlm";"#ccd891"
"CmDEBmc";"#ccd891"
"CmDEBqz";"#ccd891"
"CmDLB";"#80b5d5"
"CmDLI";"#80b5d5"
"CmDLJ";"#80b5d5"
"CmDLL";"#80b5d5"
"CmDlm";"#e8ae97"
"CmDLT";"#80b5d5"
"CmGL";"#e8ae97"
"CmGlm";"#ab7d00"
"CmGs";"#ab7d00"
"CmGsc";"#ab7d00"
"CmGsf";"#ab7d00"
"CmL";"#e77c72"
"Cmlm";"#e8ae97"
"CmMB";"#80b5d5"
"CmMRE";"#5282ce"
"CmMsf";"#999791"
"CmN";"#e8ae97"
"CmOHt";"#ff8cb5"
"CmOK";"#d4bfcc"
"CmOKlc";"#d4bfcc"
"CmOKlm";"#d4bfcc"
"CmOlc";"#e8ae97"
"CmOM";"#e8ae97"
"CmOms";"#d4bfcc"
"CmORz";"#80b5d5"
"CmOs";"#e8ae97"
"Cmqz";"#e8ae97"
"Cms";"#e8ae97"
"Cmsf";"#e8ae97"
"Cmst";"#e8ae97"
"CPA";"#99bdda"
"CPAS";"#80cec9"
"CPCgs";"#8a2be2"
"CPch";"#99d8d8"
"CPCsf.m";"#dcabaa"
"CPCus";"#dcabaa"
"CPdr";"#d487b5"
"CPF";"#80cec9"
"CPFLsv";"#c4cccf"
"CPFUvb";"#c4cccf"
"CPH";"#99bdda"
"CPKa";"#99d8d8"
"CPKi";"#80cec9"
"CPKo";"#b587fa"
"CPlc";"#99d8d8"
"CPlm";"#db5700"
"CPm";"#b587fa"
"CPMR";"#99bdda"
"CPMRum";"#a800b0"
"CPog";"#d487b5"
"CPSE";"#99bdda"
"CPSF";"#99d8d8"
"CPSFK";"#99d8d8"
"CPSlm";"#99bdda"
"CPSNlm";"#99bdda"
"CPSNva";"#99bdda"
"CPus";"#a800b0"
"CScg";"#99bdda"
"CSlm";"#99bdda"
"CSsc";"#99bdda"
"CSt";"#99d8d8"
"CSvc";"#99bdda"
"CSvf";"#99bdda"
"CTrBRbs";"#caa7d1"
"CTrCC";"#9fa6a3"
"CTrKcg";"#9fa6a3"
"CTrKsf";"#9fa6a3"
"Czfp";"#ffc2bf"
"Czgr";"#ffc2bf"
"DCBH";"#e9c7e2"
"DCEBFvd";"#ccd891"
"DCEBSKvf";"#ccd891"
"DCEBSst";"#ccd891"
"DCog";"#ebadc4"
"DCQLgr";"#ebadc4"
"DCqm";"#ebadc4"
"DCSv.pl";"#99bdda"
"Ddo";"#80cec9"
"DEBD";"#ccd891"
"DEBdr";"#ffc2bf"
"DEBog";"#ffc2bf"
"DEBpg";"#ccd891"
