strat_unit,color_rgb
?dr,255:222:237
?g,255:222:237
?gr,255:222:237
?gs,219:204:247
?mc,219:204:247
?ml,219:204:247
?mm,219:204:247
?og,255:222:237
?qd,255:222:237
?qm,255:222:237
?to,255:222:237
CCCTHvm,128:145:173
CJBRm,202:167:209
CJBRsv,202:167:209
CJBRus,202:167:209
CKSC,159:166:163
CmA,231:124:114
CmAlm,231:124:114
CmAqz,231:124:114
CmAs,231:124:114
CmCD,160:124:120
Cmcg,232:174:151
CmDBI,171:125:0
CmDEB,204:216:145
CmDEBlm,204:216:145
CmDEBmc,204:216:145
CmDEBqz,204:216:145
CmDLB,128:181:213
CmDLI,128:181:213
CmDLJ,128:181:213
CmDLL,128:181:213
CmDlm,232:174:151
CmDLT,128:181:213
CmGL,232:174:151
CmGlm,171:125:0
CmGs,171:125:0
CmGsc,171:125:0
CmGsf,171:125:0
CmL,231:124:114
Cmlm,232:174:151
CmMB,128:181:213
CmMRE,82:130:206
CmMsf,153:151:145
CmN,232:174:151
CmOHt,255:140:181
CmOK,212:191:204
CmOKlc,212:191:204
CmOKlm,212:191:204
CmOlc,232:174:151
CmOM,232:174:151
CmOms,212:191:204
CmORz,128:181:213
CmOs,232:174:151
Cmqz,232:174:151
Cms,232:174:151
Cmsf,232:174:151
Cmst,232:174:151
CPA,153:189:218
CPAS,128:206:201
CPCgs,138:43:226
CPch,153:216:216
CPCsf.m,220:171:170
CPCus,220:171:170
CPdr,212:135:181
CPF,128:206:201
CPFLsv,196:204:207
CPFUvb,196:204:207
CPH,153:189:218
CPKa,153:216:216
CPKi,128:206:201
CPKo,181:135:250
CPlc,153:216:216
CPlm,219:87:0
CPm,181:135:250
CPMR,153:189:218
CPMRum,168:0:176
CPog,212:135:181
CPSE,153:189:218
CPSF,153:216:216
CPSFK,153:216:216
CPSlm,153:189:218
CPSNlm,153:189:218
CPSNva,153:189:218
CPus,168:0:176
CScg,153:189:218
CSlm,153:189:218
CSsc,153:189:218
CSt,153:216:216
CSvc,153:189:218
CSvf,153:189:218
CTrBRbs,202:167:209
CTrCC,159:166:163
CTrKcg,159:166:163
CTrKsf,159:166:163
Czfp,255:194:191
Czgr,255:194:191
DCBH,233:199:226
DCEBFvd,204:216:145
DCEBSKvf,204:216:145
DCEBSst,204:216:145
DCog,235:173:196
DCQLgr,235:173:196
DCqm,235:173:196
DCSv.pl,153:189:218
Ddo,128:206:201
DEBD,204:216:145
DEBdr,255:194:191
DEBog,255:194:191
DEBpg,204:216:145
DEBSk,204:216:145
DEBus,168:0:176
DEBW,204:216:145
DETpg,219:204:247
DFSA,203:189:220
di,255:222:237
DIsy,255:194:191
DJCv,230:166:255
DJgd,255:194:191
DJgs,153:215:190
DJsf,153:215:190
Dlc,128:206:201
DlPSsf,153:189:218
DlPSsl,153:189:218
DlPSsv,153:189:218
DlPSv,153:189:218
DMBE,143:196:212
DMBmd,143:196:212
DMBsf,143:196:212
DMCcg1,203:189:220
DMCcg2,255:194:191
DMcg,219:204:247
DMch,103:179:159
DMCmb,255:194:191
DMCmc,203:189:220
DMCmr,255:194:191
DMCms,233:199:226
DMEA,153:151:145
DMEBF,204:216:145
DMEBR,204:216:145
DMEcg,153:151:145
DMEG,153:151:145
DMEmd,153:151:145
DMEmv,255:222:237
DMEsf,153:151:145
DMF,233:199:226
DMQ,235:173:196
DMR,235:173:196
DMSPd,235:173:196
DMSPgd,255:194:191
DMSsv,153:189:218
DMSv,153:189:218
DMWgs,181:135:250
DMWml,181:135:250
DMWpg,181:135:250
DMWus,168:0:176
Dog,255:194:191
DPAgs,179:227:238
DPAls,179:227:238
DPAs,179:227:238
DPAsf,179:227:238
DPBa,103:179:159
DPBC,104:159:202
DPBCG,104:159:202
DPC,104:159:202
DPFL,196:204:207
DPHlm,153:189:218
DPHRs,153:189:218
DPHsf,153:189:218
DPK,128:206:201
DPRdr,235:173:196
DPRgd,235:173:196
DPRum,168:0:176
DPSlm,153:189:218
DPSM,196:204:207
DPSMUec,212:184:255
DPSMUgb,235:173:196
DPSMUum,168:0:176
DPSs,153:189:218
DPSsl,153:189:218
DPSsv,153:189:218
DPv,103:179:159
Ds,128:206:201
DSlm,153:189:218
DSm,153:189:218
DSmy,153:189:218
DSsf,153:189:218
DSv,153:189:218
DSvb,153:189:218
Dsy,255:194:191
DTrBR,219:204:247
DTrBRgs,219:204:247
DTrBRlm,219:204:247
DTrBRvb,219:204:247
DTrHlm,153:189:218
DTrHNsv,153:189:218
DTrHsf,153:189:218
DTrHvb,153:189:218
DTrT,219:204:247
DTrTma,219:204:247
Dvb,104:159:202
EAdqmz,255:156:148
EBB,255:194:191
EBdmz,255:156:148
EBfp,255:194:191
EBgd,255:194:191
EBo,255:194:191
EBqd,255:194:191
ECg,235:173:196
ECgd,255:194:191
ECH,255:194:191
ECsy,255:194:191
EDdr,255:194:191
EDgd,255:194:191
Edi,255:194:191
EDOCPmp,255:194:191
EDqd,255:194:191
Edr,255:194:191
EEBvb,255:179:0
EEG,255:179:0
EEOvb,255:179:0
EEv,255:179:0
EEva,255:179:0
EEvb,255:179:0
EEvb.tfa,255:179:0
EEvf,255:179:0
EEvl,255:179:0
EFLgd,255:194:191
EFLmi,255:194:191
Efp,255:194:191
Eg,219:87:0
Egb,255:194:191
Egd,255:194:191
Egmz,219:87:0
EGo,255:194:191
Egr,255:194:191
Ei,255:194:191
EJAC,255:138:99
EJAIgd,255:138:99
EJAIqm,255:138:99
EJBdb.po,148:255:176
EJBdmz,255:69:145
EJBgd,255:69:145
EJBLdb,148:255:176
